,sp,Latin,wsg,e_vs_l,d_index,engel_dt_vs_di,harms_dt_vs_di,Moist,PNAS_dt_vs_di,dpft
53,poutre,Pouteria reticulata,0.794,late,0,0,0,1.964685,di,di
54,pri2co,Prioria copaifera,0.413571,early,0,0,di,1.315704415,di,di
55,protco,Protium costaricense,0.575724,late,0,0,di,0.495980144,di,di
56,protpa,Protium panamense,0.452333,early,0,0,di,1.646724314,di,di
57,protte,Protium tenuifolium,0.56975,late,0,0,di,0.188516208,di,di
58,pterro,Pterocarpus rohrii,0.449286,early,29.17,0,di,1.618069732,di,di
59,quaras,Quararibea asterolepis,0.454,early,0,0,dt,1.7846643,di,dt
60,randar,Randia armata,0.668,late,0,0,dt,2.337343004,di,dt
61,simaam,Simarouba amara,0.384643,early,0,0,di,1.978254547,di,di
62,sipapa,Siparuna pauciflora,0.6562,late,0,0,0,-0.26627349,dt,dt
63,sloate,Sloanea terniflora,0.624723,late,0,0,di,-0.395592835,dt,di
64,socrex,Socratea exorrhiza,0.23,early,0,0,di,2.211843298,di,di
65,swars1,Swartzia simplex,0.844349,late,4.81,dt,0,0.637847156,di,dt
66,tab2ar,Tabernaemontana arborea,0.524667,late,0,0,di,1.559908787,di,di
67,tachve,Tachigali versicolor,0.521,late,0,0,0,-0.597483913,dt,dt
68,tet2pa,Tetragastris panamensis,0.717333,late,29.53,0,di,1.795018157,di,di
69,tri2pa,Trichilia pallida,0.698125,late,0,0,dt,-0.771824213,dt,dt
70,tri2tu,Trichilia tuberculata,0.6275,late,24.14,0,dt,0.516060018,di,dt
71,tripcu,Triplaris cumingiana,0.52,late,0,0,dt,-1.511574417,dt,dt
72,unonpi,Unonopsis pittieri,0.368,early,0,0,di,0.642804109,di,di
73,virose,Virola sebifera,0.445375,early,0,0,di,0.493523118,di,di
74,virosu,Virola surinamensis,0.417909,early,85.82,di,di,2.057564481,di,di
75,xyl1ma,Xylopia macrantha,0.874,late,64,di,di,1.905489888,di,di
76,zantbe,Zanthoxylum ekmanii,0.608812,late,0,0,0,1.010340266,di,di
