Latin	occur	Inter	Moist	Al	Ca	Fe	K	P	Zn	N	Moist^2	Al^2	Ca^2	Fe^2	K^2	P^2	Zn^2	N^2
Lonchocarpus heptaphyllus (Fabaceae-papilionoideae)	29	1.3659316054681	1.65671691358158	-0.109845972756552	0.0808578959321571	-0.0661415964669596	0.0671548000619101	-0.442348076746136	0.293226699933664	0.00862638362047303	-1.08675095015832	-0.253376199241683	-0.307028596407247	-0.0324682295157027	-0.0797774966270177	-0.672765090384682	0.052633687453491	0.00613822925363845
Pavonia dasypetala (Malvaceae)	4	-2.61570208524179	0.830833732509069	0.125555137877944	-0.298796344088968	-0.0521961197791331	0.13588686891785	-0.574904967648129	0.202518384115728	0.0476483796155336	-0.655895320312027	-0.253393324097712	-0.155630932995687	-0.0388981188228618	0.08766882371676	0.00557047652738511	-0.0934534119660564	-0.0295495616258263
Lozania pittieri (Lacistemataceae)	7	-1.86564307317286	1.89626716170658	-0.0998610776495316	-0.662894383990777	-0.416058807266584	-0.131005712294957	-0.507759943981729	0.171353666078489	0.0697350259387797	-0.927072249210403	-0.187668560226316	-0.162897714679961	-0.024192778666192	0.00963715756805354	-0.405575054965374	-0.168344638674742	-0.0217210452121179
Luehea seemannii (Malvaceae)	45	1.77120246316537	-0.421192279526289	-0.00888946352000102	0.119076111326399	-0.120841628611649	0.473022521833986	1.26185773774818	0.0998073406500917	0.0393714466375263	-0.702578050964697	-0.259637145196615	-0.0665852606535144	-0.0627411860005581	-0.0209780494078524	-0.17761754760855	-0.156473488522106	-0.032612948191634
Luehea speciosa (Malvaceae)	13	-1.81703358953531	-2.10598110435457	0.289558290213266	-0.268473551764558	-0.0374166116446706	-0.0721003058784117	-0.459798934815661	0.168777538981624	0.0244969450660275	-0.377319415597753	-0.261479184477159	-0.103540318184408	-0.0885882011509956	0.0358003593615109	-0.265264318139803	0.0813606967682755	-0.0257476790835402
Mabea occidentalis (Euphorbiaceae)	18	-1.06784207067706	-0.507958193221168	-0.0141662056756324	-0.183735637970608	0.221400985384222	0.43664906453396	-0.907942967465552	0.158736697422884	0.0673149709695815	-0.399727234689538	-0.0607960395446322	-0.153848559420119	0.0184658426394035	0.0978135067633118	0.155136878137948	-0.0108682382233974	-0.032457586806657
Machaerium biovulatum (Fabaceae-papilionoideae)	7	-2.18563289581039	-0.672435775126686	0.48879561005436	-0.749350710266381	-0.00566516101998177	0.0386571787847229	-0.0910965801524893	0.111145037561417	0.0243415682326686	0.107122917584414	-0.167737977683695	-0.0809041017658792	-0.0815579606003701	-0.0673867632436902	-0.520793517084753	-0.116750030482294	-0.0320327908780194
Maclura tinctoria (Moraceae)	7	-1.99975358069642	-0.632746431378978	0.116943054684963	0.112508493631176	-0.0624486682232361	0.162502128489988	0.600119046156809	0.15430091615067	0.0546299512514186	-0.590318068338169	-0.270726254101125	-0.148416560713523	-0.0614430832241987	0.00688756151806329	-0.116310372454485	-0.150194376583005	-0.0210102671218716
Macrocnemum roseum (Rubiaceae)	19	-0.250624316303858	0.33519592279823	-0.147150988916734	0.322435120930076	-0.0849968538449099	0.178009274750583	0.458224423362527	0.130703666666911	0.0390530636533097	-0.617359397893292	-0.191947178080493	-0.177518037200299	-0.170748197534214	0.0778187764731641	-0.276220612135865	-0.193313922977006	-0.0329470939836406
Mosannona garwoodii (Annonaceae)	11	-0.873541791951863	1.88607265911637	0.329816496391721	-0.0498984588526949	-0.160302502776366	0.471123968262694	0.331928101122912	0.1785017302506	0.0622245024278062	-0.966584938914998	-0.184394154274271	-0.179611406469701	-0.129040907399214	-0.0219942265446685	-0.474241510733468	-0.160872214464203	-0.0268586737973475
Malouetia guatemalensis (Apocynaceae)	7	-2.4461692594557	2.00146135730138	0.123505892868608	-0.192478614126949	-0.126457890795679	-0.0514493227408905	-0.840930123314146	0.204911355018503	-0.00318697941091722	-0.750352392259234	-0.249871089083174	-0.21587939455711	-0.0343669636759395	-0.00477366623752233	-0.114388917516304	-0.0638778200885814	0.0114433456339064
Malouetia isthmica (Apocynaceae)	3	-2.97465665956487	1.36078876653943	-0.331807415560189	-0.421014011687183	-0.289689221937698	0.186222281347434	-0.791886283793911	0.157901136839043	0.0408220928994148	-0.52460420572526	-0.18654352170101	-0.199079346655411	-0.0278039422301255	-0.0450954513585687	-0.35653205625711	-0.141187598504038	-0.0303628450720455
